nombre,precio
Abrazadera 1 Luz 3/4 Agua S/M,1.0
Abrazadera 3/4 Luz S/M,0.4
ABRAZADERA 5/8 1 OREJA S/M,0.3
ABRAZADERA GALVANIZADA SIN FIN 5/8 C&A,0.46
ACCESORIO PARA WATER C/JALADOR BOYA NEGRA C&A,18.58
ACCESORIO PARA WATER C/JALADOR BOYA NEGRA HYDRA,16.0
ACCESORIO PARA WATER C/PULSADOR C&A,22.0
ACEITE 20W-50 BLINDAX SUPER 1/4GL VISTONY,20.0
ACEITE 20W-50 RAYVON 4T PARA MOTOCICLETA 1 LT GL VISTONY,22.5
ACEITE 25W-60 ACEITE DE MOTOR CASTROL,23.0
ACEITE 25W-60 BLINDAX ALTO KLM GASOLINERO X 1LT VISTONY,18.0
ACEITE 25W-60 FORZA VIS MULTIGRADO DIESEL X 1LT VISTONY,17.0
ACEITE 2T 200ML VISTONY,3.5
ACEITE 3000 4T 20W50 MOTUL,30.0
ACEITE 4T MOTOKAR DOYPACK VISTONY,15.27
ACEITE LUBRICANTE 30ML 3 EN 1,6.5
ACEITE LUBRICANTE 90ML 3 EN 1,10.0
Aceite P/Maquina Grande 60ml A-1 A-1,4.0
ACEITE RP RIDER TOWN 4T 20W50 12 X 1LT REPSOL,21.95
ACELERANTE DE FRAGUA CHEMA 3 (CILINDRO 55GLS) CHEMA,1390.0
ACELERANTE PARA CONCRETO CHEMA 3 CHEMA,45.5
ACIDO ESPECIAL KRIZZAL,5.57
Acido Muriatico LUKAS,5.5
Acido Muriatico Medio Litro PLUS,3.0
ADAPTADOR CPVC 1/2 PAVCO,1.5
ADAPTADOR DE BRONCE 1/2 X 1 1/4 VALMAX,4.0
ADAPTADOR DE ENCHUFE UNIVERSAL SWIFT,4.44
ADAPTADOR ELECTRICO TRIPLE TIPO T HOME LIGHT,3.5
Adaptador Pvc 1 PAVCO,3.78
Adaptador Pvc 1 PLASTICA,2.0
Adaptador Pvc 1/2 HECHIZA,1.0
Adaptador Pvc 1/2 PAVCO,1.72
Adaptador Pvc 1/2 PLASTICA,1.1
Adaptador Pvc 3/4 PAVCO,2.9
Adaptador Pvc 3/4 PLASTICA,1.2
ADOQUIN 10 X 20 CM S/M,0.87
Afirmado Por Lata S/M,1.0
Afirmado S/M,37.8
AFLOJATODO VISTONY,13.0
AGUARRAS 1 LITRO 305 SADEV,9.5
Alambre Galvanizado 16 VELKAS,10.0
Alambre Negro 08 PRODAC,5.45
Alambre Negro 16 PRODAC,4.85
Alambre Puas 200m C&A,50.11
ALAMBRE PUAS X 180 MT C&A,38.0
ALAMBRE PUAS X 200MT PRODAC,55.87
Alambre Tw 14 INDECO,1.5
Alcayata 1 Pl S/M,15.0
Alcayata 2 1/2 (4.0x0.65) Caja X 71unid S/M,0.3
ALCAYATA 2 VARIOS,0.19
ALCAYATA 3 (56 UNID-0.50KG) VARIOS,0.4
Alcohol 96░ LUCAS,10.0
Alicate Corte 6 C&A,11.0
ALICATE CORTE 6 KAMASA,11.0
ALICATE PRESION C/JEBE 10 PL ASAKI,16.0
Alicate Punta 6 C&A,10.14
ALICATE PUNTA S/M,8.0
Alicate Universal 8 C&A,10.0
Alicate Universal 8 GANGLI TOOLS,10.0
