nombre,total,costo
ABRAZADERA GALVANIZADA SIN FIN 5/8 C&A,100,0.22
ACCESORIO PARA WATER C/JALADOR BOYA NEGRA C&A,12,9.15
ACCESORIO PARA WATER C/PULSADOR C&A,9,12.33
ACEITE LUBRICANTE 30ML 3 EN 1,10,3.37
ACEITE LUBRICANTE 90ML 3 EN 1,13,5.74
ACEITE RP RIDER TOWN 4T 20W50 12 X 1LT REPSOL,1,14.83
ACIDO ESPECIAL KRIZZAL,46,2.86
ADAPTADOR CPVC 1/2 PAVCO,20,0.76
ADAPTADOR DE BRONCE 1/2 X 1 1/4 VALMAX,2,1.98
ADAPTADOR DE ENCHUFE UNIVERSAL SWIFT,23,1.53
ADAPTADOR ELECTRICO TRIPLE TIPO T HOME LIGHT,38,1.71
ALAMBRE PUAS X 200MT PRODAC,20,37.22
ALCAYATA 3 (56 UNID-0.50KG) VARIOS,16,0.1
ALICATE PRESION C/JEBE 10 PL ASAKI,6,9.32
APLICADOR SILICONA T/ESQUELETO TRUPER,3,6.42
ARCO DE SIERRA PROFESIONAL ALTA TENSION 12 TRUPER,2,31.79
Abrazadera 3/4 Luz S/M,100,0.17
Aceite P/Maquina Grande 60ml A-1 A-1,1,1.53
Adaptador Pvc 1 PAVCO,58,2.12
Adaptador Pvc 1 PLASTICA,66,0.93
Adaptador Pvc 1/2 PAVCO,95,0.73
Adaptador Pvc 1/2 PLASTICA,120,0.41
Adaptador Pvc 3/4 PAVCO,115,1.4
Adaptador Pvc 3/4 PLASTICA,60,0.47
Afirmado S/M,14.5,23.73
Alambre Galvanizado 16 VELKAS,0,6.19
Alambre Negro 08 PRODAC,774,2.58
Alambre Negro 16 PRODAC,1963,2.58
Alambre Puas 200m C&A,6,26.61
Alambre Tw 14 INDECO,15,0.93
Alcohol 96░ LUCAS,12,7.2
Alicate Corte 6 C&A,4,6.59
Alicate Punta 6 C&A,3,5.73
Alicate Universal 8 KAMASA,2,7.97
Ambientador X Litro Surtido KRIZZAL,9,1.91
Anillo De Cera C/G METUSA,26,3.45
Aplicador Silicona T/Esqueleto C&A,11,3.2
Arco De Sierra 12pl M/Plastico C&A,16,4.85
Arena Amarilla Por Lata S/M,4,0.59
Arena Amarilla S/M,29.25,32.2
Arenilla Fina Por Lata S/M,0.01,0.3
Arenilla S/M,5,16.95
Armella Cerrada 1 1/2 Pl S/M,64,0.17
Armella Cerrada 1 Pl S/M,58,0.14
BADILEJO M/GOMA 6 KAMASA,8,4.08
BADILEJO M/MADERA 6 C&A,6,2.34
BADILEJO M/MADERA 7 C&A,9,2.18
BISAGRA 1 1/2 BISA,16,0.64
BORNES PARA BATERIA KAMASA,6,2.97
BROCHA DE NYLON M/MADERA 1 TUMI,14,0.85
BROCHA DE NYLON M/PLASTICO 1 COPERSA,11,0.59
BROCHA DE NYLON M/PLASTICO 11/2 COPERSA,12,1.02
BROCHA DE NYLON M/PLASTICO 21/2 COPERSA,16,1.53
BROCHA DE NYLON M/PLASTICO 3 COPERSA,15,2.03
Base Zincromato 1/4 Galon VELSALIT,8,10.59
Bisagra 2 1/2 BISA,76,0.85
Bisagra 2 BISA,80,0.67
Bisagra 3 1/2 BISA,9,1.2
Bisagra 3 BISA,7,0.98
Bisagra 4 BISA,34,1.69
Bisagra Fija Aluminizada 4 ALUMINIZADA,13,3.74
Broca Para Concreto 1/2-13mm VARIOS,3,4.92
Broca Para Concreto 1/4-6.5mm VARIOS,4,2.2
Broca Para Concreto 1/8-3mm VARIOS,14,1.1
Broca Para Concreto 3/16-5mm VARIOS,9,1.95
Broca Para Concreto 3/8-10mm VARIOS,7,2.75
Broca Para Concreto 5/16-8mm VARIOS,6,2.68
Broca Para Concreto 5/32-4mm VARIOS,10,1.03
Broca Para Fierro Hss 1/16 VARIOS,8,0.76
Broca Para Fierro Hss 1/2 VARIOS,3,8.13
Broca Para Fierro Hss 1/32 VARIOS,17,0.76
Broca Para Fierro Hss 1/4 VARIOS,5,1.72
Broca Para Fierro Hss 3/32 VARIOS,2,0.85
Broca Para Fierro Hss 3/8 VARIOS,7,3.82
Broca Para Fierro Hss 5/16 VARIOS,4,2.54
Broca Para Fierro Hss 5/32 VARIOS,2,1.1
Brocha De Nylon M/Madera 1 C&A,9,0.76
Brocha De Nylon M/Madera 1/2 C&A,21,0.46
Brocha De Nylon M/Madera 2 1/2 C&A,22,1.68
Brocha De Nylon M/Madera 2 C&A,12,1.33
Brocha De Nylon M/Madera 3 C&A,10,2.22
Brocha De Nylon M/Madera 3/4 C&A,12,0.66
Brocha De Nylon M/Madera 4 C&A,12,2.94
Brocha De Nylon M/Madera 5 C&A,13,3.76
Bushing Pvc 1 A 1/2 INYECTOPLAST,24,1.1
Bushing Pvc 1 A 3/4 INYECTOPLAST,70,0.76
Bushing Pvc 1/2 A 1/2 TRANSFORMADO,34,0.62
Bushing Pvc 3/4 A 1/2 INYECTOPLAST,8,0.51
CABEZA DE DUCHA CROMADA CIRCULAR 6 C&A,2,14.51
"CABLE THW-90 + PLUS, 12 AWG INDECO",930,1.84
"CABLE THW-90 + PLUS, 14 AWG INDECO",649.2,1.42
CAJA 12 POLOS P/EMPOTRAR KBA,8,17.13
CAJA CONCRETO DESAGUE BASE S/M,12,7.59
CAJA CONCRETO DESAGUE INTERMEDIA S/M,13,7.63
CAJA CONCRETO DESAGUE PESTAÐA S/M,18,7.77
CAJA CONCRETO DESAGUE TAPA S/M,6,7.2
CAJA RECTANGULAR UNIVERSAL PARA SOBREPONER HOME LIGHT,8,2.06
CAL SACO POR 30 KG CAL,291.5,5.93
CALAMINA 0.14 X 3.60 X 0.80 ACEROS AREQUIPA,447,10.86
CALAMINA 0.22X3.60X0.80 PRODAC,55,17.51
CANALETA 10X20 (3/4) HOME LIGHT,17,0.97
CARETA PARA SOLDA /CABECERA AMARILLA C&A,3,10.01
CARRETILLA RHINO AMARILLA RHINO,8,84.75
CARRETILLA T/BUGGY C/LLANTA REF T/HOJA AZUL 5.5P C&A,3,0
CAÐO JARDINERO CIM,11,26.1
CAÐO JARDINERO PVC BLANCO TOSISAC,227,1.57
Cemento Azul Antisalitre PACASMAYO,427,28.14
CEMENTO ROJO MOCHICA,313,24.87
CEMENTO ROJO PACASMAYO,1331,25.93
CERA ROJA SILICONEADA X 1LT LUCAS,2,3.81
CERRADURA INTERIOR BOLA WINGS,5,8.05
CERROJO N1 31/2 PL SANSON SANSON,3,1.19
CERROJO N2 5 PL SANSON SANSON,2,1.48
CHALECO POLIESTER NARANJA C&A,1,2.65
CHAPA BOLA CROMADO C&A,6,9.26
CINTA AISLANTE 3M 155 GRANDE 3M,76,2.99
CINTA AISLANTE 3M 155 PEQUEÐO 3M,51,1.38
CINTA AISLANTE 3M 165 19MMX18.3M AMARILLO 3M,5,3.65
CINTA AISLANTE 3M 165 19MMX18.3M AZUL 3M,1,3.65
CINTA EMBALAJE 2 X 200 YDS KNAUF,35,5.24
CINTA REFLECTIVA BLANCO/ ROJO 2 PLG KNAUF,45.7,1.55
CLAVO ACERO 1 1/2-3.5X50MM CAJ-1KG (416UNI) VARIOS,774,0.02
CLAVO ACERO 1(CAJA 345 X 1KG) VARIOS,26,0.02
CLAVO ACERO 2 1/2-3.5X60MM CAJ-0.50KG(72 UNID) VARIOS,140,0.06
CLAVO ACERO 2-3.5X50MM CAJ-1KG (247UNI) VARIOS,508,0.03
CLAVO ACERO 3-4.3X75MM CAJ-1KG (104UNI) VARIOS,524,0.08
CLAVO P/MADERA 1 1/2 CONFER CONFER,11.25,3.73
CLAVO P/MADERA 5 CONFER CONFER,29.1,5.08
CLAVO PARA CALAMINA C/ARANDELA C&A,39.15,4.17
CODO PVC 1 SP PLASTICA,28,1.52
CODO PVC 1/2 SP PLASTICA,152,0.63
CODO PVC MIXTO 1/2 PLASTICA,136,0.54
CODO PVC MIXTO 3/4 PAVCO,44,2.54
CODO SAL 4 PAVCO,44,5.8
CODO SAL 4 PLASTICA,40,3.02
COLA SINTETICA 1 KG LOSARO,10,5.3
COLA SINTETICA 1/2 KG VELSALIT,7,2.54
COMBA C/MANGO FIBRA DE VIDRIO 8LBS C&A,2,27.82
CORDON VULCANIZADO 2X12 NMT(SJT-0) INDECO INDECO,35,4.8
CRUZETA 2 MM 100UND VARIOS,31,1.53
CRUZETAS 1 MM 100UND VARIOS,1,0
CUCHILLO CARTONERO CUTER EUROTOOLS,15,0.42
CURVA LUZ SAP 1 PAVCO,1,1.27
Cabeza Ducha Cromada Peque±a C&A,1,7.27
Cabeza Ducha pvc grande Completa S/M,26,1.8
Cable Mellizo 2X18 INDECO,222.5,1.04
Cable Mellizo 2x16 INDECO,585,1.91
Caja 2 Polos P/Empotrar KBA,15,3.75
Caja 2 Polos P/Empotrar XACE,6,3.22
Caja 4 Polos P/Empotrar KBA,14,8.81
Caja 6 Polos P/Empotrar KBA,11,9.96
Caja 8 Polos P/Empotrar KBA,4,13.14
Caja Concreto Para Agua CONCRETO,11,11.02
Caja De Pase 100 X 100 X 70 XACE,10,3.4
Caja De Pase 150 X 150 X 80 XACE,8,5.51
Caja De Pase 200 X 200 X 80 XACE,3,11.86
Caja De Pase Liso 10.2 X 10.2 X 5.5 STECK,3,4.83
Caja De Pase Liso 23.4 X 17.4 X 9 STECK,6,15.26
Caja Octagonal AMERICA,131,0.32
Caja Octagonal PAVCO,242,1.27
Caja Piramide P/Cuchilla Sobreponer 2 Polos S/M,12,1.27
Caja Rectangular AMERICA,109,0.28
Caja Rectangular PAVCO,529,1.23
Calamina 0.14x1.80x0.80 PRODAC,50,5.93
Calamina Traslucida Gran Onda TECHITO,11,70.34
Calamina Traslucida Perfil 4 TECHITO,56,26.27
Calamina Traslusida onda 76 1.80x0.84 Liviana TECHITO,25,14.83
Calamina Traslusida onda 76 3.60x0.84 Liviana TECHITO,5,29.83
Camara P/Llanta Carretilla TRUPER,12,6.36
Canaleta 10x15 HOME LIGHT,51,0.92
Candado Dorado 32 Mm ECONOMICA,12,1.93
Candado Dorado 38mm ECONOMICA,11,2.41
Candado Dorado 50mm ECONOMICA,14,3.36
Candado Dorado 63 Mm ECONOMICA,5,5.06
Capuchon Pvc Rojo VARIOS,1014,0.08
Ca±o Botadero Bronceado Liso C&A,14,4.16
Ca±o Botadero M/Redondo Metal C&A,8,3.76
Ca±o Jardinero Bronceado Liso C&A,10,4.9
Ca±o Jardinero M/Rojo Metal C&A,8,5.88
Ca±o Jardinero Naranja PCP,15,12.2
Ca±o P/Lavanderia 1/2 C&A,11,7.6
Cemento Blanco KOLORCIX,8,1.73
Cemento VARIOS,4,0.51
Cerradura 226 FORTE,8,55.09
Cerradura 240 FORTE,5,54.98
Cerradura 444 Barra TRAVEX,1,0
Cerrojo N4 8pl SANSON,6,4.8
Cinta Aislante Grande TECNOFAN,101,2.54
Cinta Aislante Peque±o TECNOFAN,36,0.81
Cinta Masketing 1 PEGAFAN,20,2.53
Cinta Masketing 1/2 PEGAFAN,14,1.3
Cinta Masketing 2 PEGAFAN,25,4.88
Cinta Masketing 3/4 PEGAFAN,9,1.78
Cinta P/Medir Plastica 50 Metros ASAKI,1,14.83
Cinta Teflon 1/2 X 12m C&A,41,0.29
Cinta Teflon P/Gas Amarilla 1/2 Magnun MAGNUN,45,0.63
Cizalla 12 M/Tubular C&A C&A,6,14.75
Cizalla 18 M/Tubular C&A C&A,6,18.68
Clavo Acero 4-4.5X100mm Caj X 81unid X Kg VARIOS,161.5,0.11
Clavo Acero 5 P Caj X 1 Kg 58 Unid VARIOS,148,0.19
Clavo P/Madera 1 Confer CONFER,14.35,4.07
Clavo P/Madera 2 1/2 Confer CONFER,650.5,2.91
Clavo P/Madera 2 Confer CONFER,79.45,3.05
Clavo P/Madera 3 Confer CONFER,94.45,3.11
Clavo P/Madera 4 Confer CONFER,76.1,3.11
Clavo P/Madera 6 Confer CONFER,85.55,5.08
Clavo P/Madera 7 Confer CONFER,41.05,4.99
Clavo Para Calamina C&A C&A,0,4.75
Codo Bronce 1/2 VALMAX,18,2.02
Codo Cpvc 1/2 Sp PAVCO,72,0.72
Codo Cpvc 3/4 Sp PAVCO,66,1.8
Codo Fierro G. 1 FIERRO G,16,2.46
Codo Fierro G. 1/2 FIERRO G,81,1.19
Codo Fierro G. 3/4 FIERRO G,6,1.7
